Order Date,Sales,Profit,Quantity,Discount,Category,Sub-Category,Segment,Region,Product Name
2021-03-01,52733,8649.06,238,0.08,Technology,Tables,Home Office,East,Product A
2021-03-01,74889,12744.24,160,0.17,Technology,Chairs,Consumer,West,Product A
2021-03-01,56834,7076.25,185,0.2,Technology,Storage,Consumer,Central,Product C
2021-03-01,75661,11662.95,233,0.17,Technology,Phones,Home Office,South,Product C
2021-04-01,17865,2593.4,147,0.07,Furniture,Storage,Consumer,East,Product B
2021-04-01,74016,13146.86,124,0.06,Furniture,Chairs,Home Office,West,Product B
2021-04-01,37168,4052.2,73,0.11,Furniture,Phones,Consumer,Central,Product B
2021-04-01,27216,5524.87,271,0.09,Furniture,Binders,Consumer,South,Product A
2021-04-01,43839,9650.2,110,0.18,Office Supplies,Chairs,Corporate,East,Product A
2021-04-01,69811,16485.13,95,0.11,Office Supplies,Phones,Home Office,West,Product B
2021-04-01,59729,9535.61,83,0.02,Office Supplies,Tables,Home Office,Central,Product C
2021-04-01,11452,2426.31,81,0.12,Office Supplies,Binders,Home Office,South,Product B
2021-04-01,65889,15461.8,105,0.08,Technology,Storage,Consumer,East,Product A
2021-04-01,66452,8808.29,241,0.2,Technology,Binders,Corporate,West,Product C
2021-04-01,68353,7855.75,120,0.13,Technology,Phones,Corporate,Central,Product C
2021-04-01,73816,16073.2,77,0.12,Technology,Chairs,Consumer,South,Product A
2021-05-01,51021,9471.38,97,0.03,Furniture,Tables,Corporate,East,Product A
2021-05-01,40910,4154.0,256,0.07,Furniture,Binders,Corporate,West,Product B
2021-05-01,19131,2725.29,90,0.13,Furniture,Chairs,Corporate,Central,Product A
2021-05-01,23569,2434.78,238,0.12,Furniture,Binders,Consumer,South,Product C
2021-05-01,25490,2420.58,240,0.02,Office Supplies,Tables,Corporate,East,Product B
2021-05-01,27091,6495.42,227,0.06,Office Supplies,Tables,Home Office,West,Product A
2021-05-01,54345,11990.51,103,0.15,Office Supplies,Binders,Home Office,Central,Product A
2021-05-01,47237,5781.46,251,0.07,Office Supplies,Chairs,Corporate,South,Product A
2021-05-01,68560,7687.56,206,0.11,Technology,Phones,Corporate,East,Product B
2021-05-01,52847,6411.16,247,0.11,Technology,Chairs,Home Office,West,Product A
2021-05-01,61484,13648.87,121,0.12,Technology,Tables,Corporate,Central,Product B
2021-05-01,29535,3667.64,172,0.17,Technology,Phones,Corporate,South,Product B
2021-06-01,68732,10780.25,128,0.15,Furniture,Phones,Corporate,East,Product B
2021-06-01,13089,2577.01,140,0.13,Furniture,Phones,Consumer,West,Product A
2021-06-01,28797,3734.81,110,0.05,Furniture,Storage,Consumer,Central,Product A
2021-06-01,22243,3146.51,252,0.07,Furniture,Phones,Home Office,South,Product C
2021-06-01,30627,5495.16,69,0.18,Office Supplies,Phones,Consumer,East,Product B
2021-06-01,71227,17666.37,218,0.18,Office Supplies,Chairs,Consumer,West,Product B
2021-06-01,63529,10991.8,183,0.04,Office Supplies,Phones,Home Office,Central,Product B
2021-06-01,19995,2404.07,295,0.03,Office Supplies,Binders,Consumer,South,Product C
2021-06-01,75572,11756.65,79,0.13,Technology,Storage,Home Office,East,Product A
2021-06-01,78701,8846.28,122,0.2,Technology,Tables,Consumer,West,Product B
2021-06-01,47158,8124.49,86,0.19,Technology,Phones,Corporate,Central,Product B
2021-06-01,48554,5996.84,166,0.14,Technology,Phones,Consumer,South,Product A
2021-07-01,34470,4047.82,72,0.01,Furniture,Storage,Consumer,East,Product C
2021-07-01,37440,4604.41,136,0.11,Furniture,Binders,Consumer,West,Product B
2021-07-01,69172,5868.85,77,0.18,Furniture,Tables,Consumer,Central,Product A
2021-07-01,42829,8235.07,292,0.18,Furniture,Phones,Corporate,South,Product C
2021-07-01,59302,5905.3,165,0.08,Office Supplies,Binders,Home Office,East,Product C
2021-07-01,35456,8458.99,264,0.02,Office Supplies,Phones,Corporate,West,Product C
2021-07-01,73322,9880.66,194,0.09,Office Supplies,Tables,Home Office,Central,Product A
2021-07-01,75384,16660.03,175,0.15,Office Supplies,Storage,Corporate,South,Product A
2021-07-01,56152,4663.1,243,0.18,Technology,Tables,Corporate,East,Product A
2021-07-01,60806,12406.25,155,0.13,Technology,Tables,Home Office,West,Product C
2021-07-01,39863,5496.57,197,0.1,Technology,Phones,Corporate,Central,Product A
2021-07-01,42607,4017.88,123,0.19,Technology,Chairs,Consumer,South,Product A
2021-08-01,30013,3645.45,153,0.11,Furniture,Storage,Corporate,East,Product B
2021-08-01,21837,4407.36,258,0.12,Furniture,Chairs,Consumer,West,Product A
2021-08-01,79921,16747.31,267,0.02,Furniture,Chairs,Consumer,Central,Product A
2021-08-01,17884,3496.84,196,0.03,Furniture,Storage,Consumer,South,Product C
2021-08-01,58253,10531.17,199,0.04,Office Supplies,Chairs,Home Office,East,Product B
2021-08-01,18615,2327.08,162,0.1,Office Supplies,Storage,Home Office,West,Product A
2021-08-01,43640,9023.24,283,0.11,Office Supplies,Chairs,Consumer,Central,Product C
2021-08-01,72436,13972.81,253,0.06,Office Supplies,Phones,Corporate,South,Product B
2021-08-01,22911,2915.43,265,0.19,Technology,Tables,Corporate,East,Product B
2021-08-01,73538,16740.08,218,0.06,Technology,Binders,Consumer,West,Product A
2021-08-01,22877,3936.21,157,0.08,Technology,Tables,Consumer,Central,Product C
2021-08-01,40653,9919.99,109,0.15,Technology,Phones,Home Office,South,Product B
2021-09-01,34339,4417.78,199,0.16,Furniture,Phones,Home Office,East,Product C
2021-09-01,33236,7026.39,104,0.12,Furniture,Chairs,Home Office,West,Product C
2021-09-01,19503,3293.48,220,0.14,Furniture,Tables,Consumer,Central,Product B
2021-09-01,77943,8957.55,63,0.04,Furniture,Binders,Consumer,South,Product A
2021-09-01,35914,4311.73,90,0.14,Office Supplies,Tables,Corporate,East,Product B
2021-09-01,63591,7835.66,277,0.05,Office Supplies,Chairs,Corporate,West,Product B
2021-09-01,12697,2294.25,79,0.04,Office Supplies,Tables,Home Office,Central,Product A
2021-09-01,67548,11850.15,103,0.11,Office Supplies,Storage,Consumer,South,Product C
2021-09-01,55084,12522.47,197,0.17,Technology,Binders,Home Office,East,Product A
2021-09-01,46943,4219.59,289,0.13,Technology,Chairs,Home Office,West,Product C
2021-09-01,46552,5205.47,60,0.04,Technology,Chairs,Home Office,Central,Product B
2021-09-01,33140,5131.56,81,0.13,Technology,Chairs,Consumer,South,Product C
2021-10-01,73686,14569.79,201,0.17,Furniture,Phones,Home Office,East,Product B
2021-10-01,43673,6788.57,272,0.17,Furniture,Storage,Consumer,West,Product C
2021-10-01,58231,5879.33,298,0.17,Furniture,Binders,Corporate,Central,Product C
2021-10-01,48559,7401.3,209,0.03,Furniture,Storage,Consumer,South,Product C
2021-10-01,53652,11852.88,290,0.11,Office Supplies,Storage,Home Office,East,Product A
2021-10-01,14173,3219.28,296,0.05,Office Supplies,Binders,Home Office,West,Product B
2021-10-01,61708,14956.75,62,0.16,Office Supplies,Storage,Corporate,Central,Product B
2021-10-01,67762,16307.95,106,0.06,Office Supplies,Storage,Corporate,South,Product B
2021-10-01,78161,16906.35,99,0.17,Technology,Tables,Home Office,East,Product A
2021-10-01,70928,6552.46,82,0.13,Technology,Chairs,Consumer,West,Product B
2021-10-01,21477,1869.07,290,0.12,Technology,Binders,Corporate,Central,Product A
2021-10-01,69564,7563.76,139,0.17,Technology,Phones,Home Office,South,Product B
2021-11-01,40749,5250.09,274,0.02,Furniture,Binders,Consumer,East,Product B
2021-11-01,42290,7701.26,290,0.08,Furniture,Phones,Corporate,West,Product A
2021-11-01,11217,2323.01,273,0.05,Furniture,Phones,Home Office,Central,Product C
2021-11-01,38256,7064.33,206,0.12,Furniture,Chairs,Consumer,South,Product B
2021-11-01,35283,6047.1,259,0.07,Office Supplies,Storage,Corporate,East,Product B
2021-11-01,72436,13262.72,190,0.13,Office Supplies,Binders,Corporate,West,Product B
2021-11-01,45923,5567.8,91,0.17,Office Supplies,Storage,Consumer,Central,Product C
2021-11-01,16336,1523.38,85,0.2,Office Supplies,Storage,Corporate,South,Product A
2021-11-01,38359,5578.68,293,0.11,Technology,Tables,Corporate,East,Product C
2021-11-01,32199,4460.84,285,0.17,Technology,Chairs,Corporate,West,Product B
2021-11-01,55213,12470.87,56,0.06,Technology,Tables,Corporate,Central,Product A
2021-11-01,77826,13562.5,258,0.03,Technology,Phones,Corporate,South,Product B
2021-12-01,50744,8980.15,238,0.05,Furniture,Phones,Home Office,East,Product A
2021-12-01,20241,2938.42,172,0.13,Furniture,Binders,Home Office,West,Product B
2021-12-01,20271,2926.84,134,0.17,Furniture,Binders,Consumer,Central,Product A
2021-12-01,66440,11895.91,213,0.1,Furniture,Storage,Corporate,South,Product B
2021-12-01,58621,6312.65,133,0.15,Office Supplies,Phones,Home Office,East,Product A
2021-12-01,40275,10042.88,148,0.07,Office Supplies,Binders,Corporate,West,Product B
2021-12-01,42486,7572.12,239,0.06,Office Supplies,Phones,Corporate,Central,Product A
2021-12-01,43847,5744.49,130,0.05,Office Supplies,Binders,Corporate,South,Product C
2021-12-01,44175,5404.66,257,0.05,Technology,Binders,Corporate,East,Product A
2021-12-01,76697,18049.34,241,0.05,Technology,Tables,Consumer,West,Product B
2021-12-01,39871,3555.96,73,0.18,Technology,Storage,Consumer,Central,Product A
2021-12-01,58376,11094.99,125,0.03,Technology,Tables,Consumer,South,Product C
2022-01-01,75285,15635.02,74,0.14,Furniture,Chairs,Consumer,East,Product B
2022-01-01,38947,7112.26,294,0.01,Furniture,Phones,Home Office,West,Product B
2022-01-01,30013,7370.83,247,0.19,Furniture,Tables,Home Office,Central,Product B
2022-01-01,51287,11782.16,140,0.02,Furniture,Storage,Consumer,South,Product B
2022-01-01,54748,13118.62,116,0.14,Office Supplies,Tables,Home Office,East,Product C
2022-01-01,46979,11352.84,220,0.17,Office Supplies,Binders,Consumer,West,Product C
2022-01-01,26661,3614.88,120,0.16,Office Supplies,Storage,Corporate,Central,Product C
2022-01-01,30914,3116.93,198,0.03,Office Supplies,Tables,Consumer,South,Product B
2022-01-01,77115,13740.26,277,0.11,Technology,Binders,Consumer,East,Product A
2022-01-01,64381,8732.05,69,0.15,Technology,Phones,Corporate,West,Product C
2022-01-01,16060,3843.7,111,0.12,Technology,Chairs,Corporate,Central,Product C
2022-01-01,62901,6144.15,218,0.1,Technology,Phones,Corporate,South,Product A
2022-02-01,58008,6406.08,81,0.09,Furniture,Tables,Consumer,East,Product A
2022-02-01,76048,18921.84,286,0.05,Furniture,Storage,Home Office,West,Product A
2022-02-01,53880,11198.43,194,0.07,Furniture,Binders,Corporate,Central,Product C
2022-02-01,21527,4651.28,273,0.11,Furniture,Phones,Corporate,South,Product C
2022-02-01,16497,3139.09,215,0.14,Office Supplies,Tables,Home Office,East,Product C
2022-02-01,79607,7825.62,225,0.12,Office Supplies,Tables,Home Office,West,Product A
2022-02-01,23399,3597.77,92,0.04,Office Supplies,Tables,Home Office,Central,Product A
2022-02-01,46606,4554.97,236,0.04,Office Supplies,Binders,Home Office,South,Product A
2022-02-01,44859,5685.15,260,0.03,Technology,Chairs,Home Office,East,Product A
2022-02-01,19840,2793.78,105,0.06,Technology,Binders,Consumer,West,Product C
2022-02-01,57615,10596.71,225,0.06,Technology,Binders,Consumer,Central,Product B
2022-02-01,39916,8204.61,60,0.14,Technology,Chairs,Consumer,South,Product B
2022-03-01,10648,1282.56,282,0.14,Furniture,Chairs,Home Office,East,Product B
2022-03-01,19597,3982.36,75,0.14,Furniture,Storage,Home Office,West,Product B
2022-03-01,67478,11868.0,192,0.13,Furniture,Tables,Consumer,Central,Product B
2022-03-01,72676,7235.04,189,0.17,Furniture,Storage,Corporate,South,Product C
2022-03-01,30393,6931.02,70,0.2,Office Supplies,Storage,Consumer,East,Product B
2022-03-01,50450,8726.4,190,0.06,Office Supplies,Phones,Home Office,West,Product B
2022-03-01,44163,8967.2,278,0.11,Office Supplies,Binders,Corporate,Central,Product C
2022-03-01,33551,2909.99,188,0.03,Office Supplies,Chairs,Corporate,South,Product C
2022-03-01,29105,3624.96,240,0.14,Technology,Phones,Home Office,East,Product B
2022-03-01,30434,5708.81,269,0.11,Technology,Binders,Corporate,West,Product B
2022-03-01,43407,10792.23,270,0.05,Technology,Storage,Home Office,Central,Product C
2022-03-01,21465,3731.23,275,0.05,Technology,Binders,Consumer,South,Product B
2022-04-01,19085,4136.15,234,0.15,Furniture,Tables,Home Office,East,Product A
2022-04-01,28835,6904.44,210,0.04,Furniture,Chairs,Consumer,West,Product A
2022-04-01,32362,2628.25,253,0.05,Furniture,Phones,Consumer,Central,Product C
2022-04-01,41081,6911.58,282,0.11,Furniture,Tables,Corporate,South,Product A
2022-04-01,19250,3863.72,116,0.12,Office Supplies,Chairs,Home Office,East,Product A
2022-04-01,67865,6470.55,95,0.14,Office Supplies,Storage,Home Office,West,Product C
2022-04-01,57794,13144.96,157,0.06,Office Supplies,Storage,Home Office,Central,Product B
2022-04-01,65412,6299.79,216,0.04,Office Supplies,Chairs,Consumer,South,Product A
2022-04-01,24469,3818.0,120,0.03,Technology,Binders,Corporate,East,Product A
2022-04-01,43574,7524.17,116,0.16,Technology,Binders,Consumer,West,Product B
2022-04-01,60844,6952.09,172,0.05,Technology,Tables,Corporate,Central,Product A
2022-04-01,35226,8500.1,243,0.03,Technology,Tables,Consumer,South,Product B
2022-05-01,67907,10979.54,51,0.02,Furniture,Binders,Consumer,East,Product B
2022-05-01,30124,4295.9,136,0.14,Furniture,Phones,Corporate,West,Product B
2022-05-01,40090,4828.52,197,0.17,Furniture,Phones,Corporate,Central,Product A
2022-05-01,51853,12817.53,99,0.19,Furniture,Phones,Consumer,South,Product A
2022-05-01,18501,1631.91,117,0.19,Office Supplies,Phones,Corporate,East,Product A
2022-05-01,21793,4299.58,79,0.06,Office Supplies,Binders,Consumer,West,Product C
2022-05-01,37429,8647.87,290,0.18,Office Supplies,Phones,Corporate,Central,Product C
2022-05-01,28118,5512.84,295,0.17,Office Supplies,Phones,Corporate,South,Product C
2022-05-01,65632,12119.49,164,0.13,Technology,Phones,Home Office,East,Product C
2022-05-01,49002,8091.19,116,0.17,Technology,Binders,Corporate,West,Product C
2022-05-01,57809,14239.71,139,0.17,Technology,Binders,Consumer,Central,Product C
2022-05-01,60911,11299.47,274,0.16,Technology,Phones,Home Office,South,Product A
2022-06-01,71539,6466.32,202,0.17,Furniture,Binders,Home Office,East,Product A
2022-06-01,23110,4717.9,133,0.17,Furniture,Binders,Consumer,West,Product C
2022-06-01,46989,6210.19,69,0.1,Furniture,Binders,Consumer,Central,Product B
2022-06-01,78026,14326.43,162,0.12,Furniture,Storage,Corporate,South,Product A
2022-06-01,49057,11295.44,244,0.04,Office Supplies,Storage,Corporate,East,Product B
2022-06-01,31933,3214.3,200,0.18,Office Supplies,Chairs,Corporate,West,Product B
2022-06-01,24015,4606.74,257,0.02,Office Supplies,Chairs,Corporate,Central,Product A
2022-06-01,18040,3071.72,262,0.15,Office Supplies,Storage,Corporate,South,Product C
2022-06-01,26489,4829.62,151,0.02,Technology,Binders,Consumer,East,Product B
2022-06-01,19090,2384.42,182,0.06,Technology,Storage,Corporate,West,Product A
2022-06-01,78824,16976.36,231,0.11,Technology,Storage,Home Office,Central,Product B
2022-06-01,39403,6804.44,168,0.16,Technology,Tables,Consumer,South,Product B
2022-07-01,65508,14736.87,121,0.13,Furniture,Storage,Consumer,East,Product A
2022-07-01,74397,10504.84,131,0.09,Furniture,Storage,Home Office,West,Product A
2022-07-01,62491,5781.89,251,0.01,Furniture,Tables,Consumer,Central,Product B
2022-07-01,27035,5807.54,211,0.16,Furniture,Storage,Home Office,South,Product B
2022-07-01,34557,5646.68,200,0.06,Office Supplies,Storage,Home Office,East,Product B
2022-07-01,14272,1715.63,91,0.18,Office Supplies,Binders,Home Office,West,Product A
2022-07-01,41140,7799.38,90,0.02,Office Supplies,Phones,Home Office,Central,Product C
2022-07-01,41667,5991.48,83,0.16,Office Supplies,Phones,Consumer,South,Product C
2022-07-01,15239,2111.54,294,0.16,Technology,Binders,Corporate,East,Product C
2022-07-01,79886,8123.08,60,0.02,Technology,Storage,Consumer,West,Product B
2022-07-01,65657,13649.64,293,0.02,Technology,Chairs,Corporate,Central,Product C
2022-07-01,10459,1606.43,92,0.14,Technology,Storage,Consumer,South,Product B
2022-08-01,44090,7333.65,140,0.16,Furniture,Phones,Consumer,East,Product A
2022-08-01,29572,5687.37,131,0.11,Furniture,Chairs,Corporate,West,Product A
2022-08-01,23375,4603.97,54,0.07,Furniture,Tables,Corporate,Central,Product C
2022-08-01,52071,12080.95,245,0.13,Furniture,Binders,Consumer,South,Product A
2022-08-01,49354,6311.96,155,0.12,Office Supplies,Tables,Corporate,East,Product A
2022-08-01,61353,8255.75,279,0.04,Office Supplies,Chairs,Consumer,West,Product B
2022-08-01,57601,13012.87,244,0.08,Office Supplies,Binders,Corporate,Central,Product A
2022-08-01,12636,2473.27,165,0.05,Office Supplies,Tables,Home Office,South,Product A
2022-08-01,37857,5237.86,148,0.12,Technology,Chairs,Consumer,East,Product A
2022-08-01,29088,4191.21,73,0.05,Technology,Chairs,Consumer,West,Product C
2022-08-01,15172,1755.52,171,0.02,Technology,Chairs,Consumer,Central,Product A
2022-08-01,29197,3161.35,227,0.15,Technology,Storage,Home Office,South,Product A
2022-09-01,27872,6684.52,124,0.03,Furniture,Binders,Consumer,East,Product A
2022-09-01,43580,3642.49,243,0.18,Furniture,Storage,Consumer,West,Product B
2022-09-01,61490,13150.2,115,0.04,Furniture,Binders,Consumer,Central,Product C
2022-09-01,78329,6432.67,124,0.09,Furniture,Phones,Home Office,South,Product A
2022-09-01,45682,7445.2,174,0.13,Office Supplies,Binders,Home Office,East,Product A
2022-09-01,40727,7554.69,131,0.15,Office Supplies,Phones,Home Office,West,Product B
2022-09-01,19416,1838.28,266,0.04,Office Supplies,Storage,Home Office,Central,Product A
2022-09-01,43768,5032.08,141,0.09,Office Supplies,Binders,Corporate,South,Product B
2022-09-01,29247,2852.43,273,0.09,Technology,Tables,Home Office,East,Product A
2022-09-01,43849,10919.65,237,0.08,Technology,Chairs,Corporate,West,Product A
2022-09-01,20364,2675.0,74,0.12,Technology,Chairs,Home Office,Central,Product B
2022-09-01,22685,2998.9,98,0.17,Technology,Phones,Consumer,South,Product A
2022-10-01,34932,8583.81,246,0.09,Furniture,Chairs,Consumer,East,Product A
2022-10-01,52193,7276.94,284,0.12,Furniture,Tables,Corporate,West,Product B
2022-10-01,41744,9984.7,292,0.04,Furniture,Storage,Home Office,Central,Product C
2022-10-01,23382,2177.87,228,0.16,Furniture,Binders,Home Office,South,Product B
2022-10-01,15859,1885.9,102,0.06,Office Supplies,Tables,Consumer,East,Product C
2022-10-01,37759,3436.1,74,0.13,Office Supplies,Tables,Consumer,West,Product C
2022-10-01,77041,16062.7,110,0.04,Office Supplies,Tables,Home Office,Central,Product B
2022-10-01,52137,4338.22,113,0.14,Office Supplies,Phones,Home Office,South,Product B
2022-10-01,22002,3795.85,170,0.1,Technology,Phones,Consumer,East,Product B
2022-10-01,54851,5801.87,232,0.04,Technology,Phones,Home Office,West,Product C
2022-10-01,75861,13659.95,112,0.16,Technology,Tables,Consumer,Central,Product C
2022-10-01,33069,3559.67,194,0.06,Technology,Storage,Home Office,South,Product B
2022-11-01,47720,4791.35,68,0.12,Furniture,Phones,Consumer,East,Product A
2022-11-01,55512,4625.17,252,0.01,Furniture,Binders,Consumer,West,Product B
2022-11-01,43801,7402.41,188,0.18,Furniture,Tables,Home Office,Central,Product A
2022-11-01,37235,5656.76,298,0.05,Furniture,Binders,Home Office,South,Product B
2022-11-01,58122,8556.87,55,0.08,Office Supplies,Chairs,Corporate,East,Product C
2022-11-01,49801,6118.64,238,0.15,Office Supplies,Storage,Home Office,West,Product A
2022-11-01,19687,4221.17,282,0.11,Office Supplies,Storage,Home Office,Central,Product B
2022-11-01,11314,1306.81,229,0.07,Office Supplies,Storage,Corporate,South,Product A
2022-11-01,69686,7291.97,131,0.1,Technology,Binders,Corporate,East,Product A
2022-11-01,60389,10889.81,98,0.11,Technology,Tables,Corporate,West,Product A
2022-11-01,42116,7580.3,101,0.19,Technology,Binders,Corporate,Central,Product A
2022-11-01,11212,1369.18,64,0.03,Technology,Binders,Corporate,South,Product A
2022-12-01,66466,15787.18,165,0.18,Furniture,Binders,Consumer,East,Product B
2022-12-01,10869,2584.9,153,0.17,Furniture,Tables,Consumer,West,Product C
2022-12-01,18944,3746.79,265,0.16,Furniture,Chairs,Consumer,Central,Product C
2022-12-01,53626,7204.92,163,0.07,Furniture,Binders,Home Office,South,Product A
2022-12-01,12751,1270.72,54,0.04,Office Supplies,Binders,Corporate,East,Product A
2022-12-01,22236,2505.2,129,0.14,Office Supplies,Tables,Corporate,West,Product A
2022-12-01,38724,8101.19,189,0.08,Office Supplies,Binders,Consumer,Central,Product C
2022-12-01,38277,5377.09,265,0.09,Office Supplies,Chairs,Corporate,South,Product A
2022-12-01,21844,5442.53,95,0.02,Technology,Binders,Consumer,East,Product C
2022-12-01,78432,16308.83,172,0.09,Technology,Binders,Consumer,West,Product B
2022-12-01,79576,16761.77,98,0.02,Technology,Tables,Consumer,Central,Product A
2022-12-01,52471,8416.34,101,0.16,Technology,Chairs,Consumer,South,Product C
2023-01-01,78513,11730.27,176,0.16,Furniture,Phones,Home Office,East,Product A
2023-01-01,49942,7469.65,97,0.13,Furniture,Phones,Consumer,West,Product B
2023-01-01,73758,9476.66,148,0.04,Furniture,Binders,Consumer,Central,Product A
2023-01-01,18214,3860.23,244,0.17,Furniture,Storage,Consumer,South,Product C
2023-01-01,46231,6584.45,141,0.13,Office Supplies,Phones,Consumer,East,Product C
2023-01-01,61107,9582.34,80,0.12,Office Supplies,Binders,Home Office,West,Product C
2023-01-01,32375,3204.23,54,0.04,Office Supplies,Phones,Home Office,Central,Product B
2023-01-01,60115,4864.86,247,0.13,Office Supplies,Storage,Corporate,South,Product B
2023-01-01,77548,8779.64,264,0.15,Technology,Chairs,Consumer,East,Product A
2023-01-01,76309,8022.75,298,0.01,Technology,Tables,Home Office,West,Product B
2023-01-01,54837,8359.12,229,0.03,Technology,Binders,Home Office,Central,Product B
2023-01-01,21546,3540.81,191,0.18,Technology,Binders,Corporate,South,Product B
2023-02-01,74941,13106.95,207,0.12,Furniture,Tables,Home Office,East,Product B
2023-02-01,10665,1825.44,74,0.01,Furniture,Storage,Home Office,West,Product B
2023-02-01,52324,7346.0,145,0.19,Furniture,Binders,Consumer,Central,Product A
2023-02-01,50246,11767.42,128,0.03,Furniture,Tables,Consumer,South,Product C
2023-02-01,39868,7307.99,184,0.19,Office Supplies,Chairs,Home Office,East,Product B
2023-02-01,74586,14375.93,149,0.04,Office Supplies,Storage,Corporate,West,Product B
2023-02-01,63869,12801.66,295,0.17,Office Supplies,Tables,Consumer,Central,Product A
2023-02-01,76985,16828.05,91,0.08,Office Supplies,Binders,Consumer,South,Product B
2023-02-01,74393,10001.01,273,0.11,Technology,Phones,Home Office,East,Product A
2023-02-01,41719,7333.84,225,0.17,Technology,Binders,Home Office,West,Product B
2023-02-01,78803,13981.16,70,0.17,Technology,Binders,Consumer,Central,Product C
2023-02-01,79158,6528.09,142,0.03,Technology,Chairs,Corporate,South,Product C
2023-03-01,49640,6652.9,83,0.07,Furniture,Phones,Consumer,East,Product C
2023-03-01,73806,15792.5,124,0.16,Furniture,Phones,Consumer,West,Product A
2023-03-01,24627,4886.19,184,0.11,Furniture,Phones,Consumer,Central,Product C
2023-03-01,17700,2442.54,129,0.18,Furniture,Chairs,Home Office,South,Product B
2023-03-01,43400,6798.91,239,0.1,Office Supplies,Storage,Home Office,East,Product A
2023-03-01,30163,6830.51,260,0.18,Office Supplies,Storage,Home Office,West,Product A
2023-03-01,54222,7933.82,228,0.19,Office Supplies,Binders,Corporate,Central,Product A
2023-03-01,77278,17417.82,133,0.07,Office Supplies,Binders,Home Office,South,Product C
2023-03-01,67344,6988.25,216,0.18,Technology,Storage,Home Office,East,Product B
2023-03-01,38512,3447.44,185,0.08,Technology,Storage,Consumer,West,Product C
2023-03-01,71143,13176.79,251,0.08,Technology,Phones,Consumer,Central,Product B
2023-03-01,30322,2523.49,120,0.05,Technology,Binders,Home Office,South,Product B
2023-04-01,30709,4195.56,203,0.15,Furniture,Tables,Home Office,East,Product B
2023-04-01,69642,14194.57,76,0.11,Furniture,Binders,Home Office,West,Product C
2023-04-01,59649,5327.08,248,0.13,Furniture,Phones,Home Office,Central,Product B
2023-04-01,18406,1972.15,241,0.14,Furniture,Tables,Consumer,South,Product C
2023-04-01,48175,8107.08,55,0.1,Office Supplies,Tables,Consumer,East,Product A
2023-04-01,34562,5043.75,265,0.08,Office Supplies,Tables,Consumer,West,Product C
2023-04-01,76314,8574.19,255,0.12,Office Supplies,Tables,Home Office,Central,Product B
2023-04-01,20857,3637.04,58,0.1,Office Supplies,Storage,Corporate,South,Product B
2023-04-01,10523,890.2,73,0.06,Technology,Storage,Home Office,East,Product B
